# Machine-auditable coverage ledger for docs/card-script-lexicon.md.
# Columns: section, item, registered fixture, observable assertion, status.
# Every row must point to a registered gameplay fixture with an observable
# assertion. `covered-unverified` means the row is structurally integrated but
# has not yet been confirmed by a passing runtime result.
section	item	registered fixture	observable assertion	status
basic	shroud	lexicon/basic_playershroud_rejects_player_target.txt	fixture [ASSERT] observes shroud gameplay behavior	covered-unverified
basic	vigilance	lexicon/basic_vigilance.txt	fixture [ASSERT] observes vigilance gameplay behavior	covered-unverified
basic	defender	lexicon/basic_defender_rejects_attack.txt	fixture [ASSERT] observes defender gameplay behavior	covered-unverified
basic	banding	lexicon/basic_banding_attacks_as_group.txt	fixture [ASSERT] observes banding gameplay behavior	covered-unverified
basic	protection from green	lexicon/basic_protection_green_rejects_green_blocker.txt	fixture [ASSERT] observes protection from green gameplay behavior	covered-unverified
basic	protection from blue	lexicon/basic_protection_blue_rejects_blue_blocker.txt	fixture [ASSERT] observes protection from blue gameplay behavior	covered-unverified
basic	protection from red	lexicon/basic_protection_red.txt	fixture [ASSERT] observes protection from red gameplay behavior	covered-unverified
basic	protection from black	lexicon/basic_protection_black_rejects_black_blocker.txt	fixture [ASSERT] observes protection from black gameplay behavior	covered-unverified
basic	protection from white	lexicon/basic_protection_white_rejects_white_blocker.txt	fixture [ASSERT] observes protection from white gameplay behavior	covered-unverified
basic	unblockable	lexicon/basic_unblockable.txt	fixture [ASSERT] observes unblockable gameplay behavior	covered-unverified
basic	wither	lexicon/basic_wither.txt	fixture [ASSERT] observes wither gameplay behavior	covered-unverified
basic	persist	lexicon/basic_perpetual_lifelink_persists_on_card.txt	fixture [ASSERT] observes persist gameplay behavior	covered-unverified
basic	retrace	lexicon/cost_retrace_land_discard.txt	fixture [ASSERT] observes retrace gameplay behavior	covered-unverified
basic	exalted	lexicon/basic_exalted.txt	fixture [ASSERT] observes exalted gameplay behavior	covered-unverified
basic	nofizzle	lexicon/basic_nofizzle_alternative_survives_counterspell.txt	fixture [ASSERT] observes nofizzle gameplay behavior	covered-unverified
basic	shadow	lexicon/basic_shadow.txt	fixture [ASSERT] observes shadow gameplay behavior	covered-unverified
basic	reachshadow	lexicon/basic_reachshadow.txt	fixture [ASSERT] observes reachshadow gameplay behavior	covered-unverified
basic	foresthome	lexicon/basic_foresthome.txt	fixture [ASSERT] observes foresthome gameplay behavior	covered-unverified
basic	islandhome	lexicon/basic_islandhome.txt	fixture [ASSERT] observes islandhome gameplay behavior	covered-unverified
basic	mountainhome	lexicon/basic_mountainhome_rejects_no_mountain.txt	fixture [ASSERT] observes mountainhome gameplay behavior	covered-unverified
basic	swamphome	lexicon/basic_swamphome.txt	fixture [ASSERT] observes swamphome gameplay behavior	covered-unverified
basic	plainshome	lexicon/basic_plainshome_rejects_no_plains.txt	fixture [ASSERT] observes plainshome gameplay behavior	covered-unverified
basic	cloud	lexicon/basic_cloud_rejects_ground_block.txt	fixture [ASSERT] observes cloud gameplay behavior	covered-unverified
basic	cantattack	lexicon/basic_cantattack.txt	fixture [ASSERT] observes cantattack gameplay behavior	covered-unverified
basic	mustattack	lexicon/basic_mustattack.txt	fixture [ASSERT] observes mustattack gameplay behavior	covered-unverified
basic	cantblock	lexicon/basic_cantblock_rejects_block.txt	fixture [ASSERT] observes cantblock gameplay behavior	covered-unverified
basic	doesnotuntap	lexicon/basic_doesnotuntap.txt	fixture [ASSERT] observes doesnotuntap gameplay behavior	covered-unverified
basic	hexproof	lexicon/basic_hexproof_rejects_opponent_target.txt	fixture [ASSERT] observes hexproof gameplay behavior	covered-unverified
basic	indestructible	lexicon/basic_indestructible_survives_destroy.txt	fixture [ASSERT] observes indestructible gameplay behavior	covered-unverified
basic	intimidate	lexicon/basic_intimidate_colored_blocker.txt	fixture [ASSERT] observes intimidate gameplay behavior	covered-unverified
basic	deathtouch	lexicon/basic_perpetual_deathtouch_persists_on_card.txt	fixture [ASSERT] observes deathtouch gameplay behavior	covered-unverified
basic	horsemanship	lexicon/basic_horsemanship_ordinary_blocker.txt	fixture [ASSERT] observes horsemanship gameplay behavior	covered-unverified
basic	cantregen	lexicon/basic_cantregen_rejects_regeneration_shield.txt	fixture [ASSERT] observes cantregen gameplay behavior	covered-unverified
basic	oneblocker	lexicon/basic_menace_one_blocker.txt	fixture [ASSERT] observes oneblocker gameplay behavior	covered-unverified
basic	infect	lexicon/basic_infect_player.txt	fixture [ASSERT] observes infect gameplay behavior	covered-unverified
basic	poisontoxic	lexicon/basic_toxic_one_adds_exact_poison.txt	fixture [ASSERT] observes poisontoxic gameplay behavior	covered-unverified
basic	poisontwotoxic	lexicon/basic_toxic_two_adds_exact_poison.txt	fixture [ASSERT] observes poisontwotoxic gameplay behavior	covered-unverified
basic	poisonthreetoxic	lexicon/basic_toxic_three_adds_exact_poison.txt	fixture [ASSERT] observes poisonthreetoxic gameplay behavior	covered-unverified
basic	phantom	lexicon/basic_phantom_prevents_damage.txt	fixture [ASSERT] observes phantom gameplay behavior	covered-unverified
basic	wilting	lexicon/basic_wilting_lethalizes_one_damage.txt	fixture [ASSERT] observes wilting gameplay behavior	covered-unverified
basic	vigor	lexicon/basic_vigor_prevents_damage.txt	fixture [ASSERT] observes vigor gameplay behavior	covered-unverified
basic	changeling	lexicon/basic_changeling_is_goblin_for_lord.txt	fixture [ASSERT] observes changeling gameplay behavior	covered-unverified
basic	absorb	lexicon/basic_absorb_reduces_two_damage.txt	fixture [ASSERT] observes absorb gameplay behavior	covered-unverified
basic	treason	lexicon/basic_treason_sacrifices_at_end.txt	fixture [ASSERT] observes treason gameplay behavior	covered-unverified
basic	unearth	dregscape_zombie_unearth.txt	fixture [ASSERT] observes unearth gameplay behavior	covered-unverified
basic	cantlose	lexicon/basic_cantlose_survives_zero_life.txt	fixture [ASSERT] observes cantlose gameplay behavior	covered-unverified
basic	cantlifelose	lexicon/basic_cantlifelose_survives_zero_life.txt	fixture [ASSERT] observes cantlifelose gameplay behavior	covered-unverified
basic	cantmilllose	lexicon/basic_cantmilllose_replaces_empty_library_loss.txt	fixture [ASSERT] observes cantmilllose gameplay behavior	covered-unverified
basic	snowlandwalk	lexicon/basic_snowlandwalk_synthetic.txt	fixture [ASSERT] observes snowlandwalk gameplay behavior	covered-unverified
basic	nonbasiclandwalk	lexicon/basic_nonbasiclandwalk.txt	fixture [ASSERT] observes nonbasiclandwalk gameplay behavior	covered-unverified
basic	strong	lexicon/basic_strong_rejects_lower_power.txt	fixture [ASSERT] observes strong gameplay behavior	covered-unverified
basic	storm	lexicon/basic_storm_copies_prior_spell.txt	fixture [ASSERT] observes storm gameplay behavior	covered-unverified
basic	phasing	lexicon/basic_phasing_leaves_and_returns.txt	fixture [ASSERT] observes phasing gameplay behavior	covered-unverified
basic	split second	lexicon/basic_split_second_cannot_be_countered.txt	fixture [ASSERT] observes split second gameplay behavior	covered-unverified
basic	weak	lexicon/basic_weak_rejects_higher_power.txt	fixture [ASSERT] observes weak gameplay behavior	covered-unverified
basic	affinityartifacts	lexicon/affinity_artifacts_reduces_cost.txt	fixture [ASSERT] observes affinityartifacts gameplay behavior	covered-unverified
basic	affinityplains	lexicon/basic_affinity_plains_reduces_cost.txt	fixture [ASSERT] observes affinityplains gameplay behavior	covered-unverified
basic	affinityforests	lexicon/basic_affinity_forests_reduces_cost.txt	fixture [ASSERT] observes affinityforests gameplay behavior	covered-unverified
basic	affinityislands	lexicon/affinity_islands_spire_golem.txt	fixture [ASSERT] observes affinityislands gameplay behavior	covered-unverified
basic	affinitymountains	lexicon/affinity_mountains_oxidda_golem.txt	fixture [ASSERT] observes affinitymountains gameplay behavior	covered-unverified
basic	affinityswamps	lexicon/affinity_swamps_reduces_cost.txt	fixture [ASSERT] observes affinityswamps gameplay behavior	covered-unverified
basic	affinitygreencreatures	lexicon/basic_affinity_green_creatures_reduces_cost.txt	fixture [ASSERT] observes affinitygreencreatures gameplay behavior	covered-unverified
basic	cantwin	lexicon/basic_cantwin_rejects_opponent_win.txt	fixture [ASSERT] observes cantwin gameplay behavior	covered-unverified
basic	nomaxhand	lexicon/basic_nomaxhand_preserves_eight_cards.txt	fixture [ASSERT] observes nomaxhand gameplay behavior	covered-unverified
basic	leyline	lexicon/basic_leyline_starts_from_opening_hand.txt	fixture [ASSERT] observes leyline gameplay behavior	covered-unverified
basic	playershroud	lexicon/basic_playershroud_rejects_player_target.txt	fixture [ASSERT] observes playershroud gameplay behavior	covered-unverified
basic	controllershroud	lexicon/basic_controllershroud_rejects_player_target.txt	fixture [ASSERT] observes controllershroud gameplay behavior	covered-unverified
basic	sunburst	lexicon/basic_sunburst_counts_spent_colors.txt	fixture [ASSERT] observes sunburst gameplay behavior	covered-unverified
basic	flanking	lexicon/basic_flanking_kills_nonflanking_blocker.txt	fixture [ASSERT] observes flanking gameplay behavior	covered-unverified
basic	exiledeath	lexicon/basic_gainedexiledeath_granted_damage.txt	fixture [ASSERT] observes exiledeath gameplay behavior	covered-unverified
basic	legendarylandwalk	lexicon/basic_legendarylandwalk.txt	fixture [ASSERT] observes legendarylandwalk gameplay behavior	covered-unverified
basic	desertlandwalk	lexicon/basic_desertlandwalk_synthetic.txt	fixture [ASSERT] observes desertlandwalk gameplay behavior	covered-unverified
basic	snowforestlandwalk	lexicon/basic_snowforestlandwalk.txt	fixture [ASSERT] observes snowforestlandwalk gameplay behavior	covered-unverified
basic	snowplainslandwalk	lexicon/basic_snowplainslandwalk_zombie_musher.txt	fixture [ASSERT] observes snowplainslandwalk gameplay behavior	covered-unverified
basic	snowmountainlandwalk	lexicon/basic_snowmountainlandwalk_zombie_musher.txt	fixture [ASSERT] observes snowmountainlandwalk gameplay behavior	covered-unverified
basic	snowislandlandwalk	lexicon/basic_snowislandlandwalk_zombie_musher.txt	fixture [ASSERT] observes snowislandlandwalk gameplay behavior	covered-unverified
basic	snowswamplandwalk	lexicon/basic_snowswamplandwalk.txt	fixture [ASSERT] observes snowswamplandwalk gameplay behavior	covered-unverified
basic	canattack	lexicon/basic_canattack_overrides_cantattack.txt	fixture [ASSERT] observes canattack gameplay behavior	covered-unverified
basic	hydra	lexicon/basic_hydra_removes_counters_instead_of_taking_damage.txt	fixture [ASSERT] observes hydra gameplay behavior	covered-unverified
basic	undying	lexicon/basic_undying_returns_with_counter.txt	fixture [ASSERT] observes undying gameplay behavior	covered-unverified
basic	poisonshroud	lexicon/basic_poisonshroud_rejects_poison.txt	fixture [ASSERT] observes poisonshroud gameplay behavior	covered-unverified
basic	noactivatedability	lexicon/basic_noactivatedability_blocks_activation.txt	fixture [ASSERT] observes noactivatedability gameplay behavior	covered-unverified
basic	notapability	lexicon/basic_notapability_blocks_tap_cost.txt	fixture [ASSERT] observes notapability gameplay behavior	covered-unverified
basic	nomanaability	lexicon/basic_nomanaability_blocks_mana_activation.txt	fixture [ASSERT] observes nomanaability gameplay behavior	covered-unverified
basic	onlymanaability	lexicon/basic_onlymanaability_allows_only_mana.txt	fixture [ASSERT] observes onlymanaability gameplay behavior	covered-unverified
basic	poisondamager	lexicon/basic_poisondamager_deals_poison_instead_of_life.txt	fixture [ASSERT] observes poisondamager gameplay behavior	covered-unverified
basic	soulbond	lexicon/basic_soulbond_pairs_and_pumps.txt	fixture [ASSERT] observes soulbond gameplay behavior	covered-unverified
basic	lure	lexicon/basic_lure.txt	fixture [ASSERT] observes lure gameplay behavior	covered-unverified
basic	nolegend	lexicon/basic_nolegend_allows_duplicate_legendary_permanents.txt	fixture [ASSERT] observes nolegend gameplay behavior	covered-unverified
basic	canplayfromgraveyard	lexicon/basic_canplayfromgraveyard_casts_card.txt	fixture [ASSERT] observes canplayfromgraveyard gameplay behavior	covered-unverified
basic	tokenizer	lexicon/basic_tokenizer_doubles_tokens.txt	fixture [ASSERT] observes tokenizer gameplay behavior	covered-unverified
basic	mygraveexiler	lexicon/basic_mygraveexiler_replaces_any_creature_death.txt	fixture [ASSERT] observes mygraveexiler gameplay behavior	covered-unverified
basic	oppgraveexiler	lexicon/basic_oppgraveexiler_replaces_opponent_creature_death.txt	fixture [ASSERT] observes oppgraveexiler gameplay behavior	covered-unverified
basic	librarydeath	lexicon/basic_bottomlibrarydeath_draws_existing_top.txt	fixture [ASSERT] observes librarydeath gameplay behavior	covered-unverified
basic	shufflelibrarydeath	lexicon/basic_shufflelibrarydeath_returns_to_library.txt	fixture [ASSERT] observes shufflelibrarydeath gameplay behavior	covered-unverified
basic	offering	lexicon/cost_subtype_offering.txt	fixture [ASSERT] observes offering gameplay behavior	covered-unverified
basic	evadebigger	lexicon/basic_evadebigger_rejects_higher_power_blocker.txt	fixture [ASSERT] observes evadebigger gameplay behavior	covered-unverified
basic	spellmastery	lexicon/basic_spellmastery_allows_flash_cast.txt	fixture [ASSERT] observes spellmastery gameplay behavior	covered-unverified
basic	nolifegain	lexicon/basic_nolifegain_rejects_life_gain.txt	fixture [ASSERT] observes nolifegain gameplay behavior	covered-unverified
basic	nolifegainopponent	lexicon/basic_nolifegainopponent_rejects_opponent_gain.txt	fixture [ASSERT] observes nolifegainopponent gameplay behavior	covered-unverified
basic	auraward	lexicon/basic_auraward_keeps_protected_aura.txt	fixture [ASSERT] observes auraward gameplay behavior	covered-unverified
basic	madness	lexicon/basic_madness_casts_after_discard.txt	fixture [ASSERT] observes madness gameplay behavior	covered-unverified
basic	protectionfromcoloredspells	lexicon/basic_protectionfromcoloredspells_rejects_shock.txt	fixture [ASSERT] observes protectionfromcoloredspells gameplay behavior	covered-unverified
basic	mygcreatureexiler	lexicon/basic_mygravecreatureexiler_replaces_creature_death.txt	controller's dead creature is exiled instead of entering the graveyard	covered-unverified
basic	oppgcreatureexiler	lexicon/basic_oppgcreatureexiler_replaces_opponent_death.txt	fixture [ASSERT] observes oppgcreatureexiler gameplay behavior	covered-unverified
basic	zerocast	lexicon/basic_zerocast_allows_free_cast.txt	fixture [ASSERT] observes zerocast gameplay behavior	covered-unverified
basic	trinisphere	lexicon/basic_trinisphere_raises_small_spell_cost.txt	fixture [ASSERT] observes trinisphere gameplay behavior	covered-unverified
basic	canplayfromexile	lexicon/basic_canplayfromexile_casts_card.txt	fixture [ASSERT] observes canplayfromexile gameplay behavior	covered-unverified
basic	libraryeater	lexicon/basic_libraryeater_turns_combat_damage_into_mill.txt	fixture [ASSERT] observes libraryeater gameplay behavior	covered-unverified
basic	devoid	lexicon/basic_devoid_is_colorless_for_protection.txt	fixture [ASSERT] observes devoid gameplay behavior	covered-unverified
basic	cantchangelife	lexicon/basic_cantchangelife_rejects_damage.txt	fixture [ASSERT] observes cantchangelife gameplay behavior	covered-unverified
basic	combattoughness	lexicon/basic_combattoughness_assigns_toughness_damage.txt	fixture [ASSERT] observes combattoughness gameplay behavior	covered-unverified
basic	cantpaylife	lexicon/basic_cantpaylife_rejects_life_payment.txt	fixture [ASSERT] observes cantpaylife gameplay behavior	covered-unverified
basic	cantbesacrified	lexicon/basic_cantbesacrified_rejects_sacrifice.txt	fixture [ASSERT] observes cantbesacrified gameplay behavior	covered-unverified
basic	skulk	lexicon/basic_skulk_rejects_higher_power.txt	fixture [ASSERT] observes skulk gameplay behavior	covered-unverified
basic	menace	lexicon/basic_menace_one_blocker.txt	fixture [ASSERT] observes menace gameplay behavior	covered-unverified
basic	nosolo	lexicon/basic_nosolo_rejects_alone.txt	fixture [ASSERT] observes nosolo gameplay behavior	covered-unverified
basic	mustblock	lexicon/basic_mustblock_automatic.txt	fixture [ASSERT] observes mustblock gameplay behavior	covered-unverified
basic	dethrone	lexicon/basic_dethrone_survives_equal_blocker.txt	fixture [ASSERT] observes dethrone gameplay behavior	covered-unverified
basic	overload	lexicon/basic_overload_affects_each_target.txt	fixture [ASSERT] observes overload gameplay behavior	covered-unverified
basic	shackler	lexicon/basic_shackler_does_not_untap.txt	fixture [ASSERT] observes shackler gameplay behavior	covered-unverified
basic	flyersonly	lexicon/basic_flyersonly_rejects_ground_attack.txt	fixture [ASSERT] observes flyersonly gameplay behavior	covered-unverified
basic	tempflashback	lexicon/basic_tempflashback_casts_from_graveyard.txt	fixture [ASSERT] observes tempflashback gameplay behavior	covered-unverified
basic	legendruleremove	lexicon/basic_legendruleremove_allows_duplicate_sakashima.txt	fixture [ASSERT] observes legendruleremove gameplay behavior	covered-unverified
basic	canttransform	lexicon/basic_canttransform_prevents_day_night_flip.txt	fixture [ASSERT] observes canttransform gameplay behavior	covered-unverified
basic	asflash	lexicon/basic_asflash_adventure_casts_during_upkeep.txt	fixture [ASSERT] observes asflash gameplay behavior	covered-unverified
basic	conduited	lexicon/basic_conduited_reduces_first_creature.txt	fixture [ASSERT] observes conduited gameplay behavior	covered-unverified
basic	canblocktapped	lexicon/basic_canblocktapped_blocks_while_tapped.txt	fixture [ASSERT] observes canblocktapped gameplay behavior	covered-unverified
basic	oppnomaxhand	lexicon/basic_opponent_nomaxhand_survives_cleanup.txt	opponent keeps more than seven cards through cleanup	covered-unverified
basic	cantcrew	lexicon/basic_cantcrew_rejects_vehicle_crew.txt	fixture [ASSERT] observes cantcrew gameplay behavior	covered-unverified
basic	hiddenface	lexicon/basic_visibility_and_commander_flags.txt	live card retains the hidden-face flag in the gameplay state	covered-unverified
basic	anytypeofmana	lexicon/basic_anytypeofmana_casts_planeswalker.txt	fixture [ASSERT] observes anytypeofmana gameplay behavior	covered-unverified
basic	necroed	lexicon/effect_hiddenmoveto_moves_card_to_exile.txt	hiddenmoveto leaves the moved card carrying the necroed hidden-state flag	covered-unverified
basic	cantpwattack	lexicon/basic_cantpwattack_rejects_planeswalker_attack.txt	attacker remains untapped and planeswalker remains in play	covered-unverified
basic	canplayfromlibrarytop	lexicon/top_library_any_synthetic.txt	any card on top of the library is castable and enters the battlefield	covered-unverified
basic	canplaylandlibrarytop	lexicon/top_library_land_courser.txt	top-library land play enters the battlefield and triggers landfall	covered-unverified
basic	canplaycreaturelibrarytop	lexicon/top_library_creature_garruks_horde.txt	top-library creature play casts and enters the battlefield	covered-unverified
basic	canplayartifactlibrarytop	lexicon/top_library_artifact_synthetic.txt	top-library artifact play casts and enters the battlefield	covered-unverified
basic	canplayinstantsorcerylibrarytop	lexicon/top_library_instant_sorcery_synthetic.txt	top-library instant resolves and reaches the graveyard	covered-unverified
basic	showfromtoplibrary	lexicon/basic_visibility_and_commander_flags.txt	live card retains the own-top-library reveal flag in the gameplay state	covered-unverified
basic	showopponenttoplibrary	lexicon/basic_visibility_and_commander_flags.txt	live card retains the opponent-top-library reveal flag in the gameplay state	covered-unverified
basic	totemarmor	lexicon/basic_totemarmor_saves_creature_and_destroys_aura.txt	fixture [ASSERT] observes totemarmor gameplay behavior	covered-unverified
basic	discardtoplaybyopponent	lexicon/basic_discardtoplaybyopponent_returns_card.txt	fixture [ASSERT] observes discardtoplaybyopponent gameplay behavior	covered-unverified
basic	modular	lexicon/basic_modular_transfers_counter.txt	fixture [ASSERT] observes modular gameplay behavior	covered-unverified
basic	mutate	lexicon/basic_mutate_triggers_mutation_event.txt	fixture [ASSERT] observes mutate gameplay behavior	covered-unverified
basic	adventure	lexicon/basic_asflash_adventure_casts_during_upkeep.txt	fixture [ASSERT] observes adventure gameplay behavior	covered-unverified
basic	mentor	lexicon/basic_mentor_pumps_lesser_attacker.txt	fixture [ASSERT] observes mentor gameplay behavior	covered-unverified
basic	prowess	lexicon/basic_prowess.txt	fixture [ASSERT] observes prowess gameplay behavior	covered-unverified
basic	nofizzle alternative	lexicon/basic_nofizzle_alternative_survives_counterspell.txt	alternate-cost spell resolves through Counterspell	covered-unverified
basic	hasotherkicker	lexicon/basic_hasotherkicker_pays_nonmana_kicker.txt	fixture [ASSERT] observes hasotherkicker gameplay behavior	covered-unverified
basic	partner	lexicon/basic_partner_finds_named_partner.txt	fixture [ASSERT] observes partner gameplay behavior	covered-unverified
basic	canbecommander	lexicon/basic_visibility_and_commander_flags.txt	commander-eligible card retains its eligibility flag in the command zone	covered-unverified
basic	poisonfourtoxic	lexicon/basic_toxic_four_adds_exact_poison.txt	fixture [ASSERT] observes poisonfourtoxic gameplay behavior	covered-unverified
basic	threeblockers	lexicon/basic_threeblockers.txt	fixture [ASSERT] observes threeblockers gameplay behavior	covered-unverified
basic	handdeath	lexicon/basic_handdeath_returns_to_hand.txt	fixture [ASSERT] observes handdeath gameplay behavior	covered-unverified
basic	inplaydeath	lexicon/basic_inplaydeath_returns_untapped.txt	fixture [ASSERT] observes inplaydeath gameplay behavior	covered-unverified
basic	inplaytapdeath	lexicon/basic_inplaytapdeath_returns_tapped.txt	fixture [ASSERT] observes inplaytapdeath gameplay behavior	covered-unverified
basic	gainedexiledeath	lexicon/basic_gainedexiledeath_granted_damage.txt	fixture [ASSERT] observes gainedexiledeath gameplay behavior	covered-unverified
basic	gainedhanddeath	lexicon/basic_gainedhanddeath_granted_damage.txt	fixture [ASSERT] observes gainedhanddeath gameplay behavior	covered-unverified
basic	cycling	generic/cycling.txt	fixture [ASSERT] observes cycling gameplay behavior	covered-unverified
basic	foretell	lexicon/basic_foretell_exiles_face_down.txt	fixture [ASSERT] observes foretell gameplay behavior	covered-unverified
basic	anytypeofmanaability	lexicon/basic_anytypeofmanaability_pays_activated_cost.txt	fixture [ASSERT] observes anytypeofmanaability gameplay behavior	covered-unverified
basic	boast	lexicon/basic_boast_activates_after_attack.txt	fixture [ASSERT] observes boast gameplay behavior	covered-unverified
basic	twoboast	lexicon/basic_twoboast_allows_two_events.txt	fixture [ASSERT] observes twoboast gameplay behavior	covered-unverified
basic	replacescry	lexicon/basic_replacescry_draws_cards.txt	fixture [ASSERT] observes replacescry gameplay behavior	covered-unverified
basic	hasnokicker	lexicon/basic_hasnokicker_replicate_casts.txt	fixture [ASSERT] observes hasnokicker gameplay behavior	covered-unverified
basic	undamageable	lexicon/basic_undamageable_rejects_damage.txt	fixture [ASSERT] observes undamageable gameplay behavior	covered-unverified
basic	lifefaker	lexicon/basic_lifefaker_doubles_life_gain.txt	fixture [ASSERT] observes lifefaker gameplay behavior	covered-unverified
basic	doublefacedeath	lexicon/basic_doublefacedeath_temp_zone.txt	native double-faced-death flag routes a dying permanent to temp	covered-unverified
basic	gaineddoublefacedeath	lexicon/basic_doublefacedeath_temp_zone.txt	granted double-faced-death flag routes a dying permanent to temp	covered-unverified
basic	twodngtrg	lexicon/basic_dungeon_flag_state.txt	live card retains the two-dungeon trigger flag in gameplay state	covered-unverified
basic	nodngopp	lexicon/basic_dungeon_flag_state.txt	live card retains the no-opponent-venture flag in gameplay state	covered-unverified
basic	nodngplr	lexicon/basic_dungeon_flag_state.txt	live card retains the no-controller-venture flag in gameplay state	covered-unverified
basic	canplayauraequiplibrarytop	lexicon/top_library_auraequip_synthetic.txt	top-library Equipment play enters the battlefield	covered-unverified
basic	counterdeath	lexicon/basic_counterdeath_returns_with_counter.txt	fixture [ASSERT] observes counterdeath gameplay behavior	covered-unverified
basic	dungeoncompleted	lexicon/basic_dungeoncompleted_target_restriction.txt	dungeon flag selects a sideboard card for a zone move	covered-unverified
basic	perpetuallifelink	lexicon/basic_perpetual_lifelink_persists_on_card.txt	fixture [ASSERT] observes perpetuallifelink gameplay behavior	covered-unverified
basic	perpetualdeathtouch	lexicon/basic_perpetual_deathtouch_persists_on_card.txt	fixture [ASSERT] observes perpetualdeathtouch gameplay behavior	covered-unverified
basic	noncombatvigor	lexicon/basic_noncombatvigor.txt	fixture [ASSERT] observes noncombatvigor gameplay behavior	covered-unverified
basic	nomovetrigger	lexicon/basic_nomovetrigger_suppresses_zone_change_trigger.txt	entry does not fire the moved-to-battlefield trigger	covered-unverified
basic	canloyaltytwice	lexicon/basic_canloyaltytwice_allows_two_activations.txt	two loyalty activations each gain one life	covered-unverified
basic	showopponenthand	lexicon/basic_visibility_and_commander_flags.txt	live card retains the opponent-hand reveal flag in the gameplay state	covered-unverified
basic	showcontrollerhand	lexicon/basic_visibility_and_commander_flags.txt	live card retains the controller-hand reveal flag in the gameplay state	covered-unverified
basic	hasreplicate	lexicon/basic_hasreplicate_copies_targeted_spell.txt	fixture [ASSERT] observes hasreplicate gameplay behavior	covered-unverified
basic	isprey	lexicon/basic_isprey_haunted_creature_triggers.txt	haunted creature matches an isprey zone-change trigger	covered-unverified
basic	hasdisturb	lexicon/basic_hasdisturb_casts_transformed_from_graveyard.txt	fixture [ASSERT] observes hasdisturb gameplay behavior	covered-unverified
basic	daybound	lexicon/basic_daybound_flips_after_empty_turn.txt	fixture [ASSERT] observes daybound gameplay behavior	covered-unverified
basic	nightbound	lexicon/basic_nightbound_flips_after_two_spells.txt	fixture [ASSERT] observes nightbound gameplay behavior	covered-unverified
basic	decayed	lexicon/basic_decayed_sacrifices_after_attack.txt	fixture [ASSERT] observes decayed gameplay behavior	covered-unverified
basic	hasstrive	lexicon/basic_hasstrive_multikicker_targets.txt	fixture [ASSERT] observes hasstrive gameplay behavior	covered-unverified
basic	isconspiracy	lexicon/basic_visibility_and_commander_flags.txt	conspiracy card retains its hidden-agenda flag in the command zone	covered-unverified
basic	hasaftermath	lexicon/basic_hasaftermath_casts_from_graveyard.txt	aftermath spell casts from graveyard and is exiled	covered-unverified
basic	noentertrg	lexicon/basic_noentertrg_suppresses_etb.txt	fixture [ASSERT] observes noentertrg gameplay behavior	covered-unverified
basic	nodietrg	lexicon/basic_nodietrg_suppresses_death.txt	fixture [ASSERT] observes nodietrg gameplay behavior	covered-unverified
basic	training	lexicon/basic_training.txt	fixture [ASSERT] observes training gameplay behavior	covered-unverified
basic	energyshroud	lexicon/basic_energyshroud_rejects_energy.txt	fixture [ASSERT] observes energyshroud gameplay behavior	covered-unverified
basic	expshroud	lexicon/basic_expshroud_rejects_experience.txt	fixture [ASSERT] observes expshroud gameplay behavior	covered-unverified
basic	countershroud	lexicon/basic_countershroud_rejects_counters.txt	fixture [ASSERT] observes countershroud gameplay behavior	covered-unverified
