Abzan Battle Priest	DIFFERENT	The triggered ability granted to creatures with a +1/+1 counter has changed. TEXT A grants **first strike**, while TEXT B grants **lifelink**. These are distinct mechanical abilities with different in
Aegis Angel	SAME	Both texts describe the exact same triggered ability: when the creature enters the battlefield, a target permanent (other than the Angel itself) gains indestructible for as long as the Angel remains. 
Adarkar Valkyrie	SAME	The functional difference between 'put into a graveyard' (Text A) and 'dies' (Text B) is non-existent in this context. In Magic: The Gathering rules, a creature 'dies' if and only if it is put into a從
Adarkar Windform	SAME	The only difference between the two texts is the parenthetical reminder text explaining the snow mana symbol ({S}). TEXT A uses the phrase 'snow permanent' while TEXT B uses 'snow source'. In Magic: T
Advice from the Fae	SAME	The two texts are functionally identical. The only differences are minor formatting variations in the mana cost representation ({(2/u)} vs {2/U}), which do not affect the game mechanics. All game-reli
Adventuring Gear	SAME	The only difference between the two texts is the phrasing 'a land enters under your control' (TEXT A) versus 'a land you control enters' (TEXT B). In Magic: The Gathering rules, these phrases are semm
Aeon Chronicler	SAME	The only difference between the two texts is that TEXT A includes the reminder text for the Suspend ability (explaining the mechanics of paying costs, exiling, removing counters, and casting with Haze
Admonition Angel	SAME	The functional mechanics of both texts are identical. Text A uses older phrasing ('enters under your control' vs 'you control enters', 'Admonition Angel' vs 'this creature') and includes a specific ph
Aether Figment	SAME	Both texts describe the exact same functional behavior: a creature with Kicker {3}, the ability to be unblockable, and the conditional effect of entering with two +1/+1 counters if the kicker cost was
Aeolipile	SAME	The functional elements are identical. Both texts require the same cost ({1}, tap, and sacrifice the artifact) to produce the same effect (dealing 2 damage to any target). The change from naming the 
Aether Charge	DIFFERENT	The scope of the target has changed. TEXT A restricts the damage to a 'target opponent' (a player), whereas TEXT B expands the target to 'target opponent or planeswalker'. This allows the ability to击击
Aerie Ouphes	SAME	The only differences between the two texts are stylistic and templating updates (e.g., 'Aerie Ouphes' vs 'this creature', 'put dies' vs 'dies', 'return it' vs 'return it'). The functional mechanics—s'
Aether Meltdown	SAME	The only difference between the texts is the scope of the static ability: TEXT A says 'Enchanted permanent gets -4/-0' while TEXT B says 'Enchanted creature gets -4/-0'. However, the card's Aura type,
Aetherspouts	SAME	The core function of the card is identical in both texts. Both state that for each attacking creature, the owner of that creature must move it to either the top or the bottom of their library. The phr
Aethertide Whale	SAME	Both texts describe the exact same game mechanics: the creature has Flying, enters the battlefield to grant the controller six energy counters, and can be returned to its owner's hand by paying four {
Aether Shockwave	SAME	Both texts present the exact same modal choice: the player must choose one of two effects. Effect 1 is to tap all Spirits. Effect 2 is to tap all non-Spirit creatures. The scope (all Spirits vs. all),
Aethersquall Ancient	SAME	Both texts describe the exact same game mechanics: a flying creature that generates three energy counters during the upkeep, and an activated ability costing eight energy counters that returns all *op
Agent of Erebos	SAME	Both texts describe the exact same functional behavior: a Constellation ability that triggers when the creature or another enchantment enters the battlefield under the player's control, resulting in a
Aethertorch Renegade	DIFFERENT	The scope of the second activated ability has changed. TEXT A restricts the 6-damage ability to 'target player', whereas TEXT B expands this to 'target player or planeswalker'. This is a functional sc
Aetherworks Marvel	SAME	The only difference between the two texts is the phrasing of the cost: 'Pay {E}{E}{E}{E}{E}{E}' (six individual energy symbols) versus 'Pay six {E}'. These are functionally identical, representing the
Aggravated Assault	SAME	The only difference between the two texts is the phrasing of the activation timing: 'Activate this ability only any time you could cast a sorcery' (Text A) versus 'Activate only as a sorcery' (Text B)
Aethermage's Touch	SAME	The only difference between the two texts is the use of 'has' (TEXT A) versus 'gains' (TEXT B) regarding the triggered ability on the creature. In Magic: The Gathering rules, when a card puts a new, n
Afflicted Deserter	SAME	The functional behavior is identical. Both texts trigger at the beginning of each upkeep based on the same condition (no spells cast last turn) and perform the same action (transform). The difference 
Agent of the Fates	SAME	The core functionality is identical. Both texts grant Deathtouch and a Heroic ability that triggers when a spell targets the creature, causing each opponent to sacrifice a creature. The addition of 'a
Agonizing Demise	SAME	The only difference between the two texts is the phrasing 'If Agonizing Demise was kicked' (Text A) versus 'If this spell was kicked' (Text B). In Magic: The Gathering rules, these phrases are sem and
Air Servant	SAME	The core ability in both texts is identical: an activated ability costing {2}{U} that taps a target creature with flying. The only difference is that TEXT B includes the static keyword ability 'Flying
Ainok Guide	SAME	The two texts describe identical game effects. The differences are purely cosmetic and relate to templating updates (e.g., 'this creature' vs 'Ainok Guide', 'on top of it' vs 'on top'). The choice of 
Akki Blizzard-Herder	SAME	The core function of the ability is identical in both texts. Both trigger on the creature dying and require each player to sacrifice a land. The addition of 
Akoum Boulderfoot	DIFFERENT	TEXT A includes the keyword ability 'Defender', which prevents the creature from attacking. TEXT B does not include 'Defender'. This is a functional difference in the card's abilities and behavior.
Akoum Firebird	SAME	The two texts describe identical game mechanics. The differences are purely stylistic or templating updates: 'Akoum Firebird' vs 'This creature' (referring to the same object), 'under your control' vs
Akki Underminer	SAME	The addition of 'of their choice' in TEXT B is a clarification of the default rules for sacrificing a permanent (the controller of the permanent chooses which one to sacrifice). It does not change the
Airdrop Aeronauts	SAME	The two texts describe identical game mechanics. The differences are purely stylistic and templating updates: 'Airdrop Aeronauts' vs 'this creature' (standard Oracle templating), 'you controlled' vs '
Akoum Hellkite	SAME	The functional mechanics are identical. Both texts describe a Flying ability and a Landfall trigger that deals 1 damage to any target when a land enters under the player's control. Both specify that 2
Akoum Battlesinger	SAME	The functional difference between 'Akoum Battlesinger' (TEXT A) and 'this creature' (TEXT B) is purely templating. In Magic: The Gathering, 'Akoum Battlesinger' in the trigger condition refers to the永
Alabaster Dragon	SAME	The functional behavior is identical. TEXT A explicitly names the card ('Alabaster Dragon') while TEXT B uses the standard Oracle templating ('this creature' and 'it'). In the context of a single card
Alaborn Zealot	SAME	Both texts describe the exact same triggered ability: when the creature blocks another creature, both the blocker and the blocked creature are destroyed. The phrasing difference between 'destroy that'
Akoum Stonewaker	SAME	The difference between 'enters under your control' (Text A) and 'you control enters' (Text B) is purely templating; both refer to the same event of a land entering the battlefield under the player's (
Akroma's Blessing	SAME	The phrase 'the color of your choice' in TEXT A is functionally identical to 'Choose a color' in TEXT B. Both require the player to select a specific color, and both apply the protection ability to 'C
Alesha, Who Smiles at Death	SAME	The two texts describe identical game mechanics. The only differences are cosmetic: the mana cost symbol format ({W/B} vs [W/B]), the inclusion of the full name in the trigger condition (
Alchemist's Refuge	SAME	The difference between 'Add {1}' in TEXT A and 'Add {C}' in TEXT B is purely a result of the 'mana pool' terminology update (where generic mana was often denoted as {1} in older texts to mean 'one of 
Alchemist's Vial	SAME	Both texts describe the exact same triggered ability (draw a card on entry) and the exact same activated ability (cost {1}, tap, sacrifice to prevent a target creature from attacking or blocking). The
Altar of Bone	SAME	The functional mechanics of both texts are identical. Both require sacrificing a creature as an additional cost to cast the spell. Both instruct the player to search their library for a creature card,
Alley Evasion	SAME	Both texts describe the exact same two options: a +1/+2 buff to a target creature you control, or returning a target creature you control to its owner's hand. The differences are purely cosmetic (pion
All Is Dust	SAME	The phrase 'colored permanents' in TEXT A is functionally identical to 'permanents they control that are one or more colors' in TEXT B. Both texts require each player to sacrifice every permanent they
Altar of the Brood	SAME	The phrase 'enters under your control' in TEXT A is functionally identical to 'you control enters' in TEXT B. Both trigger on the same event (a permanent entering the battlefield controlled by the Alt
Altar Of Dementia	SAME	The core function of the card remains identical. Both texts describe an activated ability with the cost 'Sacrifice a creature' that causes a 'Target player' to move a number of cards from the top of '
Aluren	SAME	The change from 'play creature cards' to 'cast creature spells' is a terminology update consistent with the shift from 'play' to 'cast' for spells in Magic rules. In the context of the game, playing a
Altar of Shadows	SAME	The differences between the two texts are purely stylistic and templating-related, not functional. 'Precombat main phase' and 'first main phase' refer to the exact same game step. 'Add Black' and 'add
Altered Ego	SAME	The functional mechanics are identical. Both texts establish that the spell is uncounterable and allow the player to choose a creature on the battlefield to copy, with the specific modification of X +
Amrou Scout	SAME	The only difference between the two texts is the placement of the word 'then' before 'shuffle'. In Magic: The Gathering rules, the sequence of events in a single ability is determined by the order of 
Ambuscade Shaman	SAME	The only difference between the texts is the phrase 'under your control' in TEXT A versus 'you control' in TEXT B. In Magic: The Gathering rules, a creature entering 'under your control' is function-1
Amulet of Vigor	SAME	The two texts describe the exact same game mechanic. TEXT A ('enters tapped and under your control') and TEXT B ('you control enters tapped') both establish the same trigger condition: a permanent the
Amulet of Unmaking	SAME	The functional components are identical: the activation cost ({5}, {T}, and exiling the card itself), the effect (exiling a target artifact, creature, or land), and the timing restriction (only as a/s
Anafenza, Kin-Tree Spirit	SAME	The only difference between the two texts is the phrasing 'enters under your control' (TEXT A) versus 'you control enters' (TEXT B). In Magic: The Gathering rules, these phrases are functionally and语义
Ancient Hellkite	SAME	The two texts describe identical game mechanics. The only differences are stylistic: TEXT A uses the card name 
Anafenza, the Foremost	DIFFERENT	The replacement effect in TEXT B has a significantly broader scope than TEXT A. TEXT A only exiles creature cards moving to an opponent's graveyard from 'anywhere'. TEXT B adds two major functional扩 (
Ancestral Vision	SAME	The only textual difference is the addition of the word 'may' in TEXT B ('you may cast it' vs 'cast it'). In Magic: The Gathering rules, when a triggered ability instructs a player to perform an act (
Ancient Hydra	SAME	The only difference between the two texts is the phrasing of the target in the activated ability. TEXT A says 'Ancient Hydra deals 1 damage to any target,' while TEXT B says 'It deals 1 damage to any'
Angelic Overseer	SAME	The functional behavior of the card is identical in both texts. The only differences are stylistic: TEXT A uses the phrasing 
Angel's Tomb	SAME	The functional difference between 'a creature enters under your control' (TEXT A) and 'a creature you control enters' (TEXT B) is non-existent. Both phrases define the exact same trigger condition: a 
Angry Mob	SAME	The text in TEXT A ('As long as it's your turn' / 'As long as it's not your turn') and TEXT B ('During your turn' / 'During turns other than yours') describe the exact same continuous effect regarding
Angelic Chorus	SAME	The phrase 'a creature enters under your control' (TEXT A) and 'a creature you control enters' (TEXT B) describe the exact same game state and trigger condition. Both refer to a creature entering the 
Angel of Finality	SAME	The functional effect of exiling the contents of a target player's graveyard is identical in both texts. The phrasing 'exile all cards from target player's graveyard' (Text A) and 'exile target player
Angel's Herald	SAME	The only difference between the two texts is the placement of the word 'then' before 'shuffle'. In Magic: The Gathering rules, the sequence of actions in a single sentence separated by commas is the 
Angelic Arbiter	SAME	The only difference between the two texts is the inclusion of the word 'a' in TEXT B ('attacked with a creature') versus TEXT A ('attacked with creatures'). In Magic: The Gathering rules, attacking 'a
Animal Boneyard	SAME	The difference between 'that creature's toughness' and 'the sacrificed creature's toughness' is purely stylistic clarification. Both texts refer to the exact same creature being sacrificed as part of,
Animar, Soul of Elements	SAME	The only difference between the two texts is the explicit inclusion of the mana symbol '{1}' in TEXT B versus the implied '1' in TEXT A. In Magic: The Gathering rules, 'cost 1 less' and 'cost {1} less
Anowon, the Ruin Sage	SAME	The addition of 'of their choice' in TEXT B is a clarification of the default rules for mandatory sacrifices (the player must choose a legal target if one exists, or sacrifice nothing if they cannot).
Anthousa, Setessan Hero	SAME	The only difference between the two texts is the name of the card itself ('Anthoussa' vs 'Anthousa'). This is a spelling variation of the card's name within the text, not a change in game mechanics, a
Anointer of Champions	SAME	The only difference between the two texts is the activation cost notation ('Tap' vs '{T}'). As per the instructions, this is a templating/wording style difference and does not affect the card's game功能
Anurid Barkripper	SAME	The text in both versions describes the exact same ability: a static bonus of +2/+2 contingent on the graveyard containing seven or more cards. The change from 'Anurid Barkripper' to 'This creature' (
Arc Mage	SAME	The functional scope of the ability is identical. Both texts allow the player to deal 2 damage divided among one or two targets. TEXT A explicitly lists 
Arashi, the Sky Asunder	SAME	The functional mechanics of both texts are identical. Both define an activated ability that deals X damage to a target creature with flying, and a Channel ability that deals X damage to each creature.
Apocalypse Hydra	SAME	The two texts describe identical game mechanics. Both state the creature enters with X counters, gains an additional X counters if X is 5 or more, and has an activated ability costing {1}{R} and a +1/
Apex Hawks	SAME	The only difference is the explicit definition of the Multikicker cost in TEXT B ({1}{W}) versus the generic description in TEXT A. In Magic: The Gathering rules, a card's text must define its own Kic
Arc Lightning	SAME	The functional scope of the targets has not changed. In Magic: The Gathering, the term 'target' in a spell's text implicitly includes creatures, players, and planeswalkers (unless specified otherwise,
Arashin Sovereign	SAME	The two texts describe identical game mechanics. The differences are purely stylistic: TEXT A uses the card name 'Arashin Sovereign' while TEXT B uses the standard Oracle templating 'this creature'. '
Apostle's Blessing	SAME	The only difference between the two texts is the notation for the alternative cost: TEXT A uses '({p(W)})' while TEXT B uses '({W/P})'. Both notations refer to the same mechanic (the 'W/P' symbol) and
Arc Trail	SAME	The phrase 'another any target' in TEXT A is a clear grammatical error or awkward phrasing for 'any other target' in TEXT B. Both texts describe the exact same game effect: dealing 2 damage to one any
Arcanis the Omnipotent	SAME	The only difference between the two texts is the phrasing 'Arcanis the Omnipotent' in TEXT A versus 'Arcanis' in TEXT B. In Magic: The Gathering rules, a card name in its own text refers to itself, so
Archangel Avacyn	SAME	The functional text of both versions is identical. Both describe the same static abilities (Flash, Flying, Vigilance), the same triggered ability upon entering the battlefield (granting indestructible
Arcbound Overseer	SAME	The only difference between the two texts is the placement of the word 'you' relative to 'control' ('creature with modular you control' vs. 'creature you control with modular'). This is a purely synt/
Archangel of Tithes	SAME	The two texts describe identical game mechanics. The differences are purely stylistic and grammatical: 'Archangel of Tithes' vs 'this creature' (referring to the same object), 'a planeswalker you' vs'
Architects of Will	SAME	The functional mechanics of the card are identical in both texts. The only differences are stylistic: TEXT A uses the older phrasing 
Architect of the Untamed	SAME	Both texts describe the exact same functional behavior: gaining one energy counter whenever a land enters under the player's control, and creating a 6/6 colorless Beast artifact creature token by payi
Arctic Foxes	SAME	Both texts describe the exact same functional restriction: Arctic Foxes cannot be blocked by creatures with power 2 or greater, provided the defending player controls a snow land. The difference in ph
Arcbound Wanderer	SAME	The two texts describe identical game mechanics. The differences are purely terminological updates consistent with Magic: The Gathering's rules evolution: 'enters' replaces 'comes into play' (implied/
Arctic Merfolk	SAME	The only difference between the two texts is the phrasing of the condition for the triggered ability: TEXT A says 'If Arctic Merfolk was kicked' while TEXT B says 'If this creature was kicked'. In the
Archon of Redemption	SAME	The functional difference between 'enters under your control' (Text A) and 'enters' with the condition 'another creature you control' (Text B) is negligible in this context. Both texts restrict the触发d
Arcum Dagsson	SAME	The only difference between the two texts is the omission of the word 'their' before 'library' in the second clause of TEXT B. In Magic: The Gathering rules, the phrase 'search their library' and 'put
Argothian Treefolk	SAME	The functional scope of the ability is identical. TEXT A's phrase 'by artifacts' is a standard shorthand for 'by artifact sources' (or 'from artifacts'), which is the precise wording used in TEXT B. '
Arid Mesa	SAME	The only difference is the substitution of the card name 'Arid Mesa' with the self-referential 'this land' in the sacrifice cost. In Magic: The Gathering rules, these are functionally identical. All其他
Armillary Sphere	SAME	The two texts describe identical game mechanics. The only differences are the substitution of the card name with the pronoun 'this artifact' (which is functionally equivalent in this context) and the 
Artificer's Intuition	SAME	Both texts describe the exact same game effect: paying {U} and discarding an artifact to search for an artifact with mana value 1 or less, reveal it, put it into your hand, and shuffle. The only minor
Asceticism	SAME	The core function of the card is identical in both texts. TEXT A describes the effect of hexproof using older, descriptive language ('can't be the target of spells or abilities your opponents control'
Army of the Damned	SAME	The core function of the card is identical in both texts: creating 13 tapped 2/2 black Zombie tokens. The change from 'Put... onto the battlefield' to 'Create' is a templating update that does not改变 (
Ashen-Skin Zubera	SAME	The functional difference between 'put into a graveyard from the battlefield' (Text A) and 'died' (Text B) is purely terminological. In Magic: The Gathering rules, 'died' is defined as 'was put into a
Ashling the Pilgrim	SAME	The only difference between the two texts is the name of the card itself ('Ashling the Pilgrim' vs 'Ashling'). In Magic: The Gathering rules, a card's ability refers to itself by name regardless of ph
Ashling, the Extinguisher	SAME	The only difference between the two texts is the pronoun used to refer to the player ('they' vs 'The player'). In Magic: The Gathering rules, 'they' is the standard singular pronoun used to refer to a
Aspect of Mongoose	SAME	The functional behavior is identical. Both texts grant shroud to the enchanted creature and return the card to its owner's hand when it moves from the battlefield to the graveyard. The change from 'As
Atalya, Samite Master	SAME	Both texts describe the exact same ability with identical costs, targets, and effects. The only differences are formatting (bullet points vs. inline text) and the placement of the restriction 'Spend X
Assembly Hall	SAME	The two texts describe the exact same game mechanics. The only differences are minor grammatical variations (e.g., 'put it into your hand' vs 'put the card into your hand', 'then shuffle' vs 'Then shu
Astral Slide	SAME	The only difference between the two texts is the pronoun used to refer to the exiled card ('the exiled card' vs 'that card'). In the context of the card's rules, both phrases unambiguously refer to 'a
Aura Shards	SAME	The phrase 'a creature enters under your control' in TEXT A is functionally identical to 'a creature you control enters' in TEXT B. Both texts describe the exact same trigger condition (a creature you
Aura Gnarlid	SAME	The functional mechanics are identical. TEXT A uses 'Aura Gnarlid's' and 'it' to refer to the creature itself, while TEXT B uses 'this creature's' and 'this creature', which is the standard Oracle phr
Aurochs Herd	SAME	Both texts describe identical game mechanics: Trample ability, a triggered ability upon entering the battlefield to search for and retrieve an Aurochs card (with shuffling), and a triggered ability on
Authority of the Consuls	SAME	The two texts describe identical game mechanics. TEXT A uses the phrase 'enter the battlefield' while TEXT B uses the abbreviated 'enter', which is functionally equivalent in Magic: The Gathering. The
Auriok Sunchaser	SAME	The only difference is the name of the creature ('Auriok Edgewright' vs 'this creature'). In the context of a card's rules text, referring to the card itself by its name or by 'this creature' is a non
Avacyn, Angel of Hope	SAME	Both texts grant Avacyn, Angel of Hope the abilities Flying, Vigilance, and Indestructible. Both texts also grant Indestructible to all other permanents the player controls. The change in wording from
Avacyn, the Purifier	SAME	The only difference between the two texts is the inclusion of the card name 'Archangel Avacyn' at the end of TEXT A. This appears to be a label or header from the database entry rather than part of a 
Autumnal Gloom	SAME	The active ability '{B}: Put the top card of your library into your graveyard' in TEXT A is functionally identical to '{B}: Mill a card' in TEXT B, as 'mill' is the defined keyword for that action. 'C
Avacynian Missionaries	SAME	The only difference is the substitution of the card name 'Avacynian Missionaries' with the generic 'this creature'. In Magic: The Gathering rules, a card name in its own text refers to itself, making 
Avarice Amulet	SAME	The only difference between the two texts is the phrasing of the triggered ability: TEXT A uses 'When equipped creature dies' while TEXT B uses 'Whenever equipped creature dies'. In Magic: The Rules, 
Avarax	SAME	Both texts describe the exact same game mechanics: Haste, a triggered ability upon entering the battlefield that allows searching for a specific card named 'Avarax' (revealing and shuffling if found),
Avatar of Discord	SAME	The only difference between the two texts is the phrasing of the trigger condition: 'When Avatar of Discord enters' (Text A) versus 'When this creature enters' (Text B). In the context of the card's 1
Aven Surveyor	SAME	Both texts describe the exact same triggered ability with identical choices: putting a +1/+1 counter on the creature itself or returning a target creature to its owner's hand. The differences are only
Avatar of Slaughter	SAME	The change from 'attack each turn' to 'attack each combat' is a correction of a known errata to match the intended game mechanic. In Magic: The Gathering, creatures can only attack during the combat (
Avenger of Zendikar	SAME	The functional mechanics of both texts are identical. Text A uses older templating ('put a token onto the battlefield' vs 'create a token', 'enters' vs 'enters the battlefield') and slightly different
Aven Warcraft	SAME	The functional mechanics are identical. Both texts grant +0/+2 to creatures you control. Both trigger the Threshold ability when seven or more cards are in the graveyard. Both grant protection from a 
Avenging Angel	SAME	The functional behavior is identical. Both texts grant the Flying ability and provide a triggered ability that allows the player to return the specific creature card from the graveyard to the top of *
Awaken the Ancient	DIFFERENT	The functional difference lies in the activation cost. TEXT A includes an activation cost of '{2}' to turn the land into a creature. TEXT B lacks this cost, implying the effect is continuous or static
Awakening Zone	DIFFERENT	The card's function has changed in two significant ways: 1) The ability is now optional ('you may create') in TEXT B, whereas TEXT A implies it is mandatory ('put... onto the battlefield'). 2) The man
Axebane Guardian	SAME	The only difference between the two texts is the placement of the phrase 'you control' relative to 'creatures with defender'. In Magic: The Gathering rules, 'creatures with defender you control' and '
Awakener Druid	SAME	The two texts describe identical game mechanics. The differences are purely cosmetic or terminological updates consistent with the rules of Magic: The Gathering (e.g., 'Awakener Druid' vs 'this', 'ent
Axelrod Gunnarson	DIFFERENT	The scope of the damage target has changed. TEXT A specifies 'target player', whereas TEXT B specifies 'target player or planeswalker'. This allows the ability to deal damage to planeswalkers in the现行
Azamuki, Treachery Incarnate	SAME	The only difference between the two texts is the removal of the full card name 'Treachery Incarnate' in TEXT B, replacing it with just 'Azamuki'. This is a standard Oracle text convention to avoid clu
Bad River	SAME	The functional components of both texts are identical: the land enters tapped, and the activated ability requires tapping and sacrificing the land to search for an Island or Swamp, put it onto the战场,,
Bala Ged Thief	SAME	The only difference between the two texts is the inclusion of the phrase 'you control' in TEXT B regarding the second Ally. In TEXT A, the phrase 'another Ally enters under your control' already gramm
Azorius Charm	SAME	The two texts describe identical game effects. The differences are purely cosmetic and relate to formatting (bullet points vs. semicolons) and minor punctuation. The core mechanics—choosing one of the
Balduvian Hydra	SAME	The two texts describe identical game mechanics. TEXT A uses the specific card name 'Balduvian Hydra' while TEXT B uses the generic 'this creature' and 'it', which is a standard templating update that
Balefire Liege	SAME	The only difference between the texts is the target specification in the red spell ability. TEXT A says 'target player', while TEXT B says 'target player or planeswalker'. This change reflects the 'Un
Balduvian Trading Post	SAME	The only difference between the texts is the mana symbol produced by the tap ability: TEXT A uses {1}{R} (one colorless and one red) while TEXT B uses {C}{R} (one colorless and one red). In Magic: The
Balthor the Defiled	SAME	The only difference between the two texts is the removal of the word 'the' in the activation cost ('Exile Balthor the Defiled' vs 'Exile Balthor'). This is a minor wording variation regarding the card
Bamboozle	SAME	The only difference between the two texts is the phrasing of the destination zone: TEXT A says 'their graveyard' while TEXT B says 'that player's graveyard'. In the context of the sentence, 'their' un
Baloth Woodcrasher	SAME	The functional mechanics are identical. Both texts trigger on a land entering under the player's control, grant +4/+4, and grant trample until end of turn. The differences are purely templating (e.g.,
Balustrade Spy	SAME	The only difference between the two texts is the substitution of the word 'this creature' in TEXT B for the card name 'Balustrade Spy' in TEXT A. This is a standard templating update where the card's 
Bane of Hanweir	SAME	The functional mechanics of the card are identical in both texts. Both versions require the creature to attack if able, and both trigger a transformation at the beginning of upkeep if a player cast at
Bant Charm	SAME	Both texts present the exact same three options with identical targets and effects: destroying a target artifact, putting a target creature on the bottom of its owner's library, and countering a spell
Banewasp Affliction	SAME	The phrase 'put into a graveyard' in TEXT A is functionally equivalent to 'dies' in TEXT B. In Magic: The Gathering rules, a creature 'dies' if and only if it is put into a graveyard from the battlefi
Bant Panorama	SAME	The functional differences between the two texts are purely cosmetic or terminological updates consistent with Magic: The Gathering's rules evolution, not changes to the card's actual behavior. 1. The
Bant Sojourners	SAME	The functional behavior is identical. TEXT A uses the older phrasing 'put into a graveyard from the battlefield' which is functionally equivalent to the current Oracle phrasing 'dies' (TEXT B). Both触发
Barbarian Lunatic	SAME	The functional components are identical: the activation cost ({2}{R} and sacrificing the creature), the effect (dealing 2 damage), the target (target creature), and the scope (the creature itself) are
Baral's Expertise	SAME	The only difference between the texts is the word 'card' in TEXT A versus 'spell' in TEXT B. In Magic: The Gathering, a card in a player's hand is always a spell when it is being cast. The Oracle text
Barishi	SAME	The two texts describe the exact same triggered ability with identical timing (when the creature dies), identical cost (exile the creature), and identical effect (shuffle all creature cards from the墓地
Barbarian Ring	SAME	The two texts describe identical game mechanics. TEXT A uses 'Barbarian Ring' and 'you' while TEXT B uses 'this land' and 'you' (referring to the controller), but the functional outcome is the same: a
Baron Sengir	SAME	The only difference between the texts is the phrasing 'put into a graveyard' (TEXT A) versus 'dies' (TEXT B). In Magic: The Gathering rules, 'dies' is defined as 'is put into a graveyard from the战场'. 
Bargaining Table	SAME	The phrase 'as you activate this ability' in TEXT A is a clarification of the timing for determining X, which is the standard and only way to interpret the cost in TEXT B. Both texts define X identily
Barter in Blood	SAME	The addition of 'of their choice' in TEXT B is a clarification of the default rules for sacrifice (a player always chooses which of their own permanents to sacrifice). It does not change the number of
Basalt Monolith	SAME	Both texts describe the exact same functional behavior: the artifact does not untap during the untap step, it has an activated ability to add three mana of any color (represented as {3} in the old or 
Battle Screech	SAME	The only difference between the texts is the phrasing 'Put... onto the battlefield' (TEXT A) versus 'Create' (TEXT B). As per the instructions, this is a templating change that does not affect the fun
Battle Sliver	SAME	The phrase 'All Sliver creatures you control' in TEXT A is functionally identical to 'Sliver creatures you control' in TEXT B. In Magic: The Gathering rules, a continuous ability that applies to a set
Battle-Rattle Shaman	SAME	The only difference between the two texts is the inclusion of the word 'get' in TEXT B. In Magic: The Gathering rules, 'have target creature +2/+0' and 'have target creature get +2/+0' are functionaly
Battlegate Mimic	SAME	The functional outcome is identical. Both texts trigger on the same condition (casting a red and white spell) and apply the same effects for the same duration (until end of turn): the creature becomes
Battlewand Oak	SAME	The functional difference between 'a Forest enters under your control' and 'a Forest you control enters' is negligible in this context. Both phrases describe the same event: a Forest permanent enters,
Battlewise Aven	SAME	The two texts describe identical game mechanics. The only differences are the phrasing 'seven or more cards are in your graveyard' (Text A) versus 'there are seven or more cards in your graveyard' (Th
Beacon of Unrest	SAME	The only difference between the two texts is the preposition 'in' (TEXT A) versus 'from' (TEXT B) regarding the graveyard. In Magic: The Gathering rules, a card is located *in* a graveyard, and a card
Beasts of Bogardan	DIFFERENT	The functional scope of the buff condition has changed. TEXT A requires an opponent to control 'a white permanent', which includes token creatures. TEXT B specifically requires a 'nontoken white', exl
